Type,Name,Age,Breed1,Breed2,Gender,Color1,Color2,Color3,MaturitySize,FurLength,Vaccinated,Dewormed,Sterilized,Health,Quantity,Fee,State,RescuerID,VideoAmt,Description,PetID,PhotoAmt,AdoptionSpeed,DescLength,DescNumWords,DescPolite,DescNumAdj,DescNumVerb,DescCompound,AdoptedOrNot
2,Grey & Midnight,2,266,0,2,1,2,6,2,1,1,1,2,1,2,0,41401,21db892e3e7ebfef05b10f917d85cadd,0,Meet little Ms.Midnight & Ms.Grey. They are 8-weeks old and are full of energy and loves to play. They are ready for a home with snuggles and playtime with lots of kitten-love. They are very attached to each other and can be adopted together or individually.,88f092c58,9.0,3,258,46,0,7,7,0.8658,1
2,Samz,1,265,0,1,1,7,0,1,1,2,1,2,1,1,0,41326,1eea485b01d14c668f33afa7c919646e,1,"Samz was found inside a tied Tesco plastic bag at the bin. I took him in and nurse him and now he is so healthy and playful. He is also potty trained and eats well. His favourite toy is the small blue ball. I am sorry i am not able to keep Sam because i already have 2 adult cats and i am staying in an apartment and i am trying to avoid neighbour from complaining. I hope to find a home for Sam where he can grow up and be happy and healthy. Anyone interested, please call me at. Thank You Felicia",1b36762d2,13.0,1,498,103,2,13,25,0.9684,1
2,Tuty,2,266,0,2,1,7,0,1,1,2,1,2,2,1,0,41401,e8f93f97c3f47d6926c7c198929530c8,0,I found this poor kitten on the side of the road. Sent to vet and been informed that she's healthy but got flu. I cant bring her home since I got another kitten to take care. Call/sms/whatsapp me at,4de32c463,2.0,1,198,39,0,2,11,0.1779,1
2,Xiao Bai And Baby,10,266,266,2,7,0,0,2,2,1,1,1,1,2,0,41326,f4e96cda301914d3a050bc1a938bf94c,0,"I am currently renting a room in Petaling Jaya and I have 3 cats. Unfortunately, I have to move back to hometown and my parents already have 3 dogs in the house. Therefore, I have to put my 2 cats for adoption and bring one back to hometown. Both of them are white in color(little bit yellowish). Xiao Bai(9 months) is spayed and Baby(birthday at 21 July ) is not spay yet. Both of them are female, dewormed and vaccinated. wish they can find their home sweet home.",0ce98d199,1.0,3,465,88,0,8,16,0.5106,1
2,Tabby,1,299,265,3,1,3,7,1,2,2,1,2,1,2,30,41326,badb959fff8f097e4901391125d910b7,0,"These 2 siblings need good home. need new owner , i have too many already. need someone can take a gud care of them. Cats very adorable, active and playful.litter trained. Eat Qiuts Tuna and SmartHeart. Please email me : ASAP. Collect at Batu Caves Area. Please bring your own cage/pet carrier. RM30 adoption fees is for the food we provided. PLEASE SMS FIRST.",7ec0fc838,3.0,1,360,64,2,6,11,0.9596,1
2,Mama Cat + 4 Babies,13,265,0,3,4,6,7,1,2,2,2,2,1,4,50,41326,45a37134dca131caaecd98957eb3d123,0,"Mama cat + 4 babies for adoption. Ambil semua sekali. Tak boleh pisahkan. Mama cat ni dibuang di kawasan rumah. Dia beranak di dalam kereta yg dah rosak Note* Mama cat teramat-amat garang dengan kucing lain. Extremely garang! Lokasi: Seksyen 13, Shah Alam Contact: T&C Apply Terima kasih",49aaa4f94,1.0,4,287,48,0,5,3,0.0,0
2,Orange,4,266,0,1,4,0,0,2,1,2,2,2,1,1,0,41401,891eeaccc76559baef4bab7bff5522cb,0,A very friendly kitty! and it likes to follow you around sometimes :),da8c280f1,6.0,3,69,13,0,1,2,0.862,1
2,KIKI (URGENT ADOPTER),12,266,0,2,2,7,0,2,2,2,2,3,1,1,0,41326,953771e4e029ad5481b8ae8d108e1cdf,0,"CUTE,FUNNY,ACTIVE AND ADORABLE..^^",3fd75e77d,5.0,4,34,3,0,0,0,0.0,0
2,Rescued Babies Searching New Home,2,264,266,3,1,7,0,3,2,2,1,2,1,4,0,41401,aab6a7b87edc56e6db4d992afb7fce10,0,-rescued 3 weeks ago from my dad's workplace. -their mom was killed by stray dogs. -they are right now perfectly healthy and is looking for a new home. -they are for free. im just helping them to get a good life. thanks. -any enquiries you can msg me on whatsapp at - adam,5aeba57be,2.0,3,272,53,1,8,11,0.9382,1
2,Belang,1,265,0,1,1,2,0,1,2,2,2,2,1,1,0,41326,66044942690776d858708bfc7c166078,1,"stray kitten together with 4 other siblings. need to be adopted in pairs. just so that they all have friends to play with. healthy, playful, active. gender & age not sure.",8dc7b3ffa,1.0,2,171,31,0,5,6,0.8965,1
2,Jazzy & Jinggles,2,264,0,1,5,0,0,2,2,2,1,2,1,2,0,41326,052cd940999e90f1f690003860c72de8,0,Two simply adorable kittens are waiting for someone to take them home. They are wonderful companions to each other & very loving little boys... Please sms me at if u are interested..,26a351904,3.0,2,182,32,1,7,6,0.9204,1
2,Abby,5,266,0,2,7,0,0,2,1,1,1,1,1,1,100,41326,09771cded8c18d94a16a6548377410a8,0,"Abby is a friendly, affectionate little girl rescued from under a car. She has been spayed and vaccinated, including against Feline Leukaemia Virus (FeLV). The adoption fee of RM is but a nominal sum. She has to be kept indoors for safety. She loves to play and be held and carried. House-trained. Very friendly. Plays well with other cats.",211b0aa56,3.0,2,340,59,0,9,15,0.9797,1
2,Bebe And Cece,8,254,265,2,1,3,0,2,2,3,1,1,1,2,0,41327,cccb18b8f8b81862f9a1ebc65d651d22,0,Bebe and Cece are stray sisters and are lucky to be alive. Their mother died. These sisters are to be adopted. They have both been spayed & dewormed. They are very loving girls and Bebe is a little shy. Cece is frisky and adventurous . Fosterer has asmatha and needs to find a home soon Please adopt,0308c9eda,3.0,4,299,57,1,7,19,0.893,0
2,Ktty,8,264,0,2,7,0,0,1,2,2,1,1,1,1,100,41326,9f83f82c4b756d15c42104963fb97ca5,0,I'm a lovely fun and loving kitten. I'm spayed and I love to play! I have fluffy beautiful medium to long fur. I hope to find a loving mommy n daddy! Did I mention I love to play?,08b9a3a2f,2.0,1,179,38,0,5,11,0.9886,1
