Type,Name,Age,Breed1,Breed2,Gender,Color1,Color2,Color3,MaturitySize,FurLength,Vaccinated,Dewormed,Sterilized,Health,Quantity,Fee,State,RescuerID,VideoAmt,Description,PetID,PhotoAmt,AdoptionSpeed,DescLength,DescNumWords,DescPolite,DescNumAdj,DescNumVerb,DescCompound,AdoptedOrNot
1,Cocoa,17,117,307,2,3,0,0,2,1,1,1,1,1,1,0,41326,aa66486163b6cbc25ea62a34b11c9b91,0,Coco is a tall elegant hound cross. She is quiet but alert. Very adorable. Currently residing at a shelter while waiting for her forever home. No tying up or caging. Adopter must pay neutering and vaccination fees. Please call or sms if inrerested.,382d948b1,2.0,3,248,43,1,5,10,0.8458,1
1,Puppy Squad!,3,307,0,3,2,3,5,2,1,2,1,2,1,7,15,41326,7f7f9fdf6a44a8ea7838bce15516a5a3,1,These puppies were rescued from an abandon building where drug addicts were squatting there... We are in urgent need for adopters or volunteer fosters. In the group there are 4 females and 3 males. We are going to get them vaccinated soon once they have passed the quarantine period. Which is why we are charging RM15 to cover the vaccine cost. We gave all of them a good bath and applied tick prevention for all of them..so they are clean and smell amazing now! The puppies are friendly and adorable. Please share if you cant adopt! :),d3077e6b1,14.0,3,536,97,1,9,21,0.9558,1
1,Spot,10,307,0,1,1,0,0,2,1,1,2,3,1,1,0,41326,e72d33bb50378147d20f09fe0b2723ce,0,A healthy pup who loves to go outdoors. A mixed breed whose mother is a Golden Retriever so easy to train. He has a well-built body frame which can be toned with more exercise. His name is called Spot as he can be easily identified with a diamond white spot on his chest!,ffd2e82a9,3.0,3,271,53,0,6,11,0.9353,1
1,Daisy,4,307,0,2,5,0,0,1,1,2,2,2,1,1,0,41326,b132254707f1a46b2f00c936d0ff5ff0,0,"cute fella, need good home please",435f8cb3d,0.0,4,33,6,1,1,1,0.802,0
1,Shiro,24,141,307,1,4,5,7,2,1,3,3,1,1,1,0,41401,cd431467a017d5bce5f42daa746d7d08,0,"SHIRO - 2 year old male Labrador cross breed urgently looking for a new home. To adopt, kindly contact Maggie .",a75703051,3.0,3,111,21,0,3,2,0.5994,1
1,3 Puppies,4,307,307,2,1,4,7,2,1,2,2,2,1,3,0,41401,337808e58e17ec60109b75a124d0e8c9,0,Rescued 3 puppies in cheras. Puppies are looking for home... They are beautiful & good. Appreciate if anyone willing to adopt them. Please call Chloe Lim,eea42fc56,0.0,4,153,26,1,4,7,0.936,0
1,The Prince!,10,307,0,1,1,0,0,2,1,1,1,1,1,1,0,41401,ee2747ce26468ec44c7194e7d1d9dad9,0,The prince has a shinny coat.,fb53fe33d,6.0,1,29,6,0,1,1,0.0,1
1,Lily,62,109,307,2,3,5,0,2,2,1,1,1,1,1,0,41326,ca4cd9ee5bc234f3aa904f8bf2132045,0,"Lovely companion, loves being around people(people she is used to)scared of lightning & very loyal.she know few commands(hand hand(Shake hand)& sit, she is shy but once she warms up to you she is one of the best friend yo can have.Please adopt her , I have to let her go as I am moving out of Malaysia.",b1f1a42bf,3.0,3,302,57,1,4,17,0.9587,1
1,Lab Mix 4,2,307,141,2,2,0,0,2,2,1,1,2,1,1,0,41326,fa90fa5b1ee11c86938398b60abc32cb,0,"Same puppy as previous posting. This posting is to facilitate the adopter to be entitled for the starter pack, cos posting in a group only entitles one adopter.",d33f898e4,0.0,0,160,28,0,3,6,0.2732,1
1,Charcoal,27,179,205,1,6,0,0,2,2,3,3,2,1,1,0,41324,0505d8c9a2c2d3f5811a30fa3483e322,0,"Charcoal was adopted 2 years ago as my husband relative unable to take care of the puppy. Charcoal been living with us at our Studio about 2 years plus and recently we force to move our studio to the Shoplot outside and there's no place for them to stay in the new studio. We temporary move them to our house (, Jalan Asean 1/2, Taman Asean Melaka) But my father in law don't like animal, We attempt to persuade my father in law to accept them but he insist want us to abandon them. T_T We wish to find a new owner for him or temporary fosterer to take care for us. We willing to pay reasonable price for dog food and we hope to keep in touch in Whatsapp or Wechat so that we can get Charcoal status update in future. :D",502d58dea,4.0,1,720,143,0,12,24,0.9432,1
